robX,robY,humanX,humanY,OD,nowRisk,humPred,S,st
2.0000000000,0.0000000000,4.0000000000,2.0000000000,2.8284271247,0.0000000000,0.0000000000,8.8304430604,1
2.0000000000,0.3500000000,3.5500000000,2.0000000000,2.2638462845,0.0000000000,0.0000000000,2.3855115323,1
2.0000000000,0.7000000000,3.1000000000,2.0000000000,1.7029386366,0.0000000000,0.0000000000,0.8511250610,1
2.0000000000,1.0500000000,2.6500000000,2.0000000000,1.1510864433,0.0279036456,0.1657879400,0.1683092604,1
1.9975136531,1.3999911686,2.2000000000,2.0000000000,0.6332545448,0.0000467969,0.0000845559,0.5534434853,1
1.9972491748,1.4372205218,1.7500000000,2.0000000000,0.6146974016,0.0023075034,0.0032820463,0.7030685173,0
1.9969846965,1.4744498751,1.3000000000,2.0000000000,0.8729207300,0.1844767332,0.1005358756,1.8349343670,0
2.0008504758,1.5629042148,0.8500000000,2.0000000000,1.2310603329,0.1070459449,0.2930089556,0.3653333552,1
2.0189501883,1.9124359020,0.4000000000,2.0000000000,1.6213164970,0.0000000009,0.0000000381,0.0230812030,1
2.0157731397,2.2624214823,-0.0500000000,2.0000000000,2.0823745338,0.0000491289,0.0001021176,0.4811010717,1
2.0125960910,2.6124070625,-0.5000000000,2.0000000000,2.5861518762,0.0000712481,0.0000383141,1.8595772988,1
2.0094190424,2.9623926427,-0.9500000000,2.0000000000,3.1119705441,0.0000206087,0.0000048353,4.2621804372,1
2.0062419938,3.3123782229,-1.4000000000,2.0000000000,3.6503179478,0.0000007834,0.0000001017,7.7040992784,1
2.0030649452,3.6623638031,-1.8500000000,2.0000000000,4.1963749696,0.0000000037,0.0000000003,12.2039437063,1
